Title,Author,Date,Number of Responses,Content
Dementia and Hobbies,KenC,2009-04-15T23:52:50+0100,0,"I find it amazing at times when I see people like myself with dementia who carry on with their hobbies and sometimes start new ones to see if they can master it. I also admire them for this.

Since being diagnosed I have started using a digital cameras which I carry with me on my walks, and it amazing how I have taken to it after using a Canon SLR film camera which had zoom and wide angle lens all in a bag. 

I had to stop using the film camera because I had problems loading the film at times, so the digital camera saves a lot of stress. When I get home I then load them onto my lap top, where I have my own photo album.

I also took up painting again after my diagnosis, and although this is just basic I get a lot of enjoyment from it once I can get started. 

I did start to go to classes, but I found that the teacher was not really interested in novices, and all he wanted to do was give everyone a copy of a certain picture and ask them to copy it. 

This worked well until my last day when he produced a copy of something resembling the ""Scream"", which looks rather frightening to start with. 

Apparently the original was done by someone who had some form of mental problem, but no one seems to know what it was. However after struggling through this piece of work for around half an hour, the teacher came back and took my picture away and started to show it off around the class, which I found a bit disturbing.

 What he then said was, this was one of the best copies he had ever seen which I found embarrassing. 

I did not dare to explain that I had dementia, as no one in the class knew at that time. 

Some time later a lady came up to me and asked why I had stopped going to this class, and I admitted that I had problems with art as I am just a novice. 

She then said that after being told that I had dementia from someone else, she wished that she has spoken to me and made me feel at home. 
She also said that the last piece of work I had done made everyone think that I had been an quite proficient as an artist and not a novice, but she also said that people with dementia actually produce work that sums up what they actually think, without trying too hard.

I have since learnt that many people with dementia take up art as a form of relaxation, and many prove to be excellent at it.

After this I do wonder how many other people with this illness start a new hobby and enjoy it as I did, (Apart from the Scream which went straight in the dust bin when I got home as it scared me to death).

Best Wishes

Ken"
Do we know what our dementia loved ones are thinking?,dcrowex,2024-05-04T13:39:08+0100,0,"I often wonder if there were any studies to determine what our loved ones are actually thinking. I sit with my friend, mostly non verbal, and she stares at the floor or the TV.  If I make a comment, she does not usually respond. She may look at me, but usually not.  So I wonder, does she know what I just said? When I make a comment about a character on TV, does she understand? When I ask her if she needs anything, does she understand what I am asking?  When I mention her tray of food in front of her will get cold and she needs to eat, she just looks at the tray.   I know she hears me but I do not think she can process what I am saying.  She may mumble something and if I ask here what she just said as I didn't hear her, she does not respond or gets irritated.  Anyone else wonder these things?  I read what I can about this but I never see this being addressed.
Best regards to all, Debbie"
Why I hate ‘The Long Goodbye’,WJG,2024-03-23T18:29:16+0000,0,"I loathe the new commercial for the Society ‘The Long Goodbye’. I think that it reinforces every negative stereotype about dementia, and does nothing whatsoever to help people such as myself living with brain disease. It dismays me that the Society has given it its backing.

Bruce Willis of ’Die Hard’ fame shares with me a diagnosis of degenerative brain disease. This commercial is all about telling people that those of us with such conditions not only die hard, but we die many times in advance of our own actual deaths. I prefer to ‘live well’, or as well as I can do. For this, I need help - and I need a change in attitude from the wider community. But this advertisement will only increase stigma, not lessen it.

The new drugs on the horizon will only work for people in the early stages of disease, so we need to convince people that there is value in seeking early diagnosis. No one watching this ad would want to do that.

I call on the Society to recognise that ’The Long Goodbye’ is a mistake, and to withdraw  it."
MBrooky,MBrooky,2024-05-13T19:08:18+0100,0,"Just joined, anybody there? MBrooky"
Can just be mad bad pride,MatthewB,2024-05-10T13:09:05+0100,0,If you wasn't so proud pride maybe couldn't be feeling so bad I guess I guess that's how it works it's hard one time you was there protector you was provide us you was always no what to do now now you are their problem is make you wish you could just be gone no more bother it's no more sad not too good on this talk no more maybe got it right
Travelling and going on holiday - any advice?,HarrietD,2024-04-23T16:51:41+0100,0,"Do you have any tips for other people with dementia about travelling and going on holiday?

Has there been something that's helped you plan what you'll be doing?

Something that's made the actual journey a better experience, or something that's helped make sure you can do things you enjoy while you're there?

Or perhaps something that’s helped you to settle back into things after you’ve returned home?

We’d love to share your advice with readers of our magazine, Dementia together - please email magazine@alzheimers.org.uk before 3 May.

Thanks everyone"
Nightmares,vas,2024-02-12T05:14:44+0000,0,"Does anybody have awful nightmares ? 
They are so bad I disturb my poor husbands sleep."
At a loss in knowing what help I need to assist me in my wife care,scout57,2024-04-25T09:49:23+0100,0,"Having no response from social service other than a call last November and have been caring for my wife for nearly two years, i deal with the constant challenges every day, my biggest issue is that I am on my own and can only leave the wife for short trips to the shops.. gone are the days out with friends. weekend away with my Scout Group, I can be woken at anytime of the night and spend ages trying to sort out a wet bed or telling her its the middle of the night and getting her back to bed (then i am up myself and cannot get back to sleep)."
Eating problems,USMSHARON,2024-03-31T22:24:07+0100,0,"Hi, I have had Alzheimer's since 2019.  Luckily I am still driving but my memory is getting worse.  I find my biggest problem though, is with food.  I don't really eat that much and there is very little I actually like.  I have gone off most of the things I used to like as they just don't taste the same any more.  I was just wondering if other people have this problem."
Medication and eating,cake4tea,2024-02-18T16:34:01+0000,0,"Hi
My mom has had Alzheimer's for roughly 10 years.  She also has an ileostomy pouch. Recently she has what seems to be regurgitating what seems to be either her pills or part of her snacks (only small amount) into her mug or cup of tea. She has also stopped finishing all her tea which is very unlike her.  She takes 5 different pills a day, levothyroxine, clopidogrel, amlodipine, artovastatin and donepezil. We wondered if this was a common problem at whatever stage she is at, as she sleeps a lot during the day but is bright otherwise. As it's only been happening the last few days we haven't spoken to her GP or memory Dr (they are different) yet."
"Newbie. Hi, my names is Campbell. I am 73 and have been living with dementia for about 18 months.",clamdaman,2024-04-21T01:46:00+0100,0,"Hi Everyone. I was diagnosed with dementia about 18 months ago, and had support from a wonderful lady from Ember.
I have learnt to cope with the memory part with lots of notes & reminders on my phone.
The parts I struggle with are :
1. The virtigo - This varies from day to day. On a good day it is almost non-existant, on a bad day I use my walking poles.
2. The emotional roller-coaster. There are days when I cry at the most rediculous things . . ."
Editing,Dunroamin,2024-04-17T18:26:46+0100,0,Is there anyway that admin can edit posts that do not have paragraphs?  There are often long and interesting posts with continuous prose.  Very difficult to read.
I am angry in the evenings,WilliamEvans,2024-03-30T22:19:24+0000,0,"I AM ANGRY IN THE EVENINGS

William Evans

March 2024​
So, this is about my Dementia, to be specific, Vascular Dementia. I was diagnosed almost a year ago in August of 2023. I have read and watched many things about dementia and found that almost everything is said or written by Drs. or caregivers. I am still skeptical of the diagnosis and I’m hoping the Dr. is wrong.

For all my life I have forgotten names and phone numbers. I have had trouble with remembering steps in tasks that I haven’t done for some time. Things like troubleshooting plumbing problems or structuring a paper I’m writing. But I have always worked it out after a few moments. After my diagnosis my wife and other family members are always watching me and are quick to correct me. This is hard for me to accept. Sometimes I’ll get irritated when questioned about somethings; particularly when I’ve thought through the process or problem and decided on how to proceed.

It's possible that some mental organizational processes are not as sharp as they once were, but I know where I am, what day it is, where I’m going and what I’ll do when I get there. I know what my wife and I did yesterday, the day before, last week and the week before. When I get frustrated and defend myself, I get “the look” and a “okay” which I know is a caregiver response of picking her battles with me.

Am I fading, or are people looking for me to fade and read normative behaviors as Dementia symptoms, which angers me and then I get a “there, there” or “okay”?

Oh yeah, I forgot, I turn 70 this year. Pun intended. I get tired of this by the evening and become angry.

Does anyone else feel this way? Is this part of the process?

William"
Tiredness,mikeb2,2023-09-17T16:15:58+0100,0,I feel so tired - even after some sleep it makes no difference- gets me down
My latest painting,Sheps,2024-03-28T18:55:45+0000,0,"I have just finished Singing for the brain art canvas which I’ve given as requested to my dementia group   We meet weekly and I love the group the singing and especially the socialising
Hope a few of you like it"
NHS blood test for Alzheimers bio markers,grahn,2024-02-14T15:12:06+0000,0,Read about an NHS blood test for Alzheimers bio markers trial. Wonder how one can find out or when a blood test might be available NHS or private?
Reaching for the stars while I still can ...........,Dunroamin,2024-03-20T09:45:54+0000,0,"MAny pursuits are now out of reach for me  (diagnosed with Alzheimers 5 years ago) but I can still swim and enjoy coldwater swimming year round. 

 Together with a trusty group of  5 women (all disabled in some form or other) we are pursuing a 100k swim challenge.  Currently up to 25k we are being interviewd by the BBC television later this morning.  

Feel so proud of my fellow swimmers and grateful for the support and encouragement of fellow swimmers and our amazing team of lifeguards."
You guys can heard of speech their therapy,MatthewB,2024-02-03T11:49:24+0000,0,I'm mast my doctor why other dementia ones can talk so better than me cause I'm I'm justice moderate not the bad more one he said is not by dimension but is is by the force first stroke is call phased phased a face see ya. Ok got to spell that one is aphasia. He say will medical no Medicare will approve a speech.   Therapy. You know that one? Can make me talk like more you guys? He says can help to do other things better too not just for is tocking but I'm can't know what he means this is Matt I'm hope you're good
Alzheimer’s,MEG48,2024-03-07T18:06:56+0000,0,"I was diagnosed June 2022, & my life began to change.  Prior to my diagnosis I had a home I loved in East Tennessee. My daughters saw changes in me that eventually led to living near a daughter in another state where I was diagnosed- -  (This move etc is a long story that may evolve if pertinent )
Finding this site is a light in my tunnel so I anticipate enjoying support & input from others as I travel a new path on this unexpected turn in my life’s’ journey -"
My daughter wrote this for us all to share - hope you like it.,dazk2002,2024-02-07T17:15:55+0000,0,"Wet lashes, hidden tears
Your eyes tell the story of unspoken fears
Fears of memories never to be made
Fears as loved ones blur and fade
But why fear when fear is only an illusion
It'll drive you into madness, delusion, and confusion
Move fear into the light
and we'll all be there in clear sight
forever, always, shining bright"
Sleep,Defiance,2024-02-05T12:37:04+0000,0,I have started having trouble going to sleep at night I lay awake for several hours and when I do drop off I am constantly waking up. I can drop off during the day no problem but not at night. I have alzheimers and vascular dementia can anyone tell me if this is normal as I always went sleep very quickly. Thank you.
Telling people you have dementia - any advice?,HarrietD,2024-02-06T16:04:52+0000,0,"Do you have any tips for other people with dementia on telling people about your diagnosis?

It could be about telling family and friends that you have dementia, or perhaps an employer?

Or about letting people in public places know you need more time or consideration, for example through a badge, helpcard or sunflower lanyard?

We’d love to share your advice with readers of our magazine, Dementia together - please email magazine@alzheimers.org.uk before 4 March.

Thanks everyone"
Disinhibition,David Joseph,2024-01-21T13:55:26+0000,0,"Dear Forum members,
I thought I knew about disinhibition, but sadly I do not. I have several questions that I can’t find answers to.
I’ve recently started swearing a lot inappropriately, talk a lot when I shouldn’t, talk to strangers on the bus or in shops, and feel I want to do these things at the time. For the last 78 years I never or rarely did so, but in the last year behaving like this has started and worsened!!! God help me.
What does this mean? Aside from memory problems, word finding when talking, not understanding, and unable to find objects round the house when my wife tells me where they are, I’ve been fine otherwise, and feeling better on donepysil. 
Can anyone advise me on what I don’t know? I didn’t expect this!
Should this be happening to me?

Thanks,

David Joseph"
Introduction,Morocco,2024-02-18T22:45:02+0000,0,"I am 59 (she/her) with a pathogenic C9orf72 mutation - feeling like I have no support from my family because I am still pretty functional. I find it soothing / calming to be in the online presence of others with dementia - I am struggling with several issues that seem to affect people with dementia ( my current stage is mild cognitive impairment - I still take care of my daily activities). I am tired and apathetic, and twitchy."
Sleep,Alis 17,2024-02-17T08:50:54+0000,0,"Hello,
I'm Alison early onset dementia. Can anyone help with sleep problems.i wake around 3am every night and it is driving me insane .thanks Alison"
I'm new to this group...,AYEHQUE,2024-01-05T23:09:29+0000,0,"Hello my name is Allison I am 54 yrs old and was diagnosed with early onset dementia around 3 years ago, I've since suffered mentally and physically with numerous health problems but I find the hardest thing to come to terms with is accepting that I'm losing my independence. Gradually I am relying more on others to help me carry out the simplest of tasks such as taking medication, shopping, keeping on top of household chores and remembering to make bill payments etc. I struggled to accept that this was real and I'm sure my loved ones also wondered was this self inflicted as I'd struggled with alcohol abuse in the past. I have only recently started to take this condition seriously and am beginning to accept it and the reality that the condition will get worse over time. I would be grateful for any information or advice you could provide me with on self help groups or activities I could enroll in my area, I live in TEDDINGTON SW LONDON and wouldn't mind having to travel a short distance by public transport, any advice will be gratefully received .
Thanks for your time
A"
what tests can show if your MCI is related to Alzheimers or not?,hopefu1,2024-02-12T13:10:20+0000,0,"I have just been diagnosed with MCI, but the neuropsychologist said she ""thought"" that it was not related to Alzheimers, but mainly a result of my heart bypass surgery in 2016.  But that's her ""guess"", it's not fact.  I have a neurologist appointment next month.  From my research I believe I'm seeing that a PET scan, or spinal fluids tests can show DEFINITIVELY whether my MCI is related to Alzheimers, or not.  What does anyone out there know about this?"
July 2020 diagnosis,Ruffy RJ,2024-01-31T17:20:01+0000,0,"I am seeing changes I'm my habits. I still exercise and walk my dog. However,I also stumble and walk weird somedays. 
I have a big support group in my family,but somtime you don't want to share all with them. So, they don't worry.
My spouse is the best thing God has given me . He is always here for me. And,he understands that it's not me , it's VASCULAR DIMENTIA."
Can be some way to right just one .?,MatthewB,2024-01-10T18:59:57+0000,0,If you want to ask one some things thing but is some more private can you just is talk to that one so is not everybody see. ? But not to be mean just maybe is some kind of embarrassment thing not bad
"Hello, a quick introduction",Clare_76,2024-01-10T20:23:12+0000,0,"Hi, I was diagnosed yesterday with vascular dementia and I still haven't quite got my head around it. I am 47 (48 in 2 weeks) and am a single parent to my 16 year old son who has complex special needs. My specialist seems to think I have many years ahead of me before things progress, but obviously, I worried sick about my son. How do you get your head around it and keep positive?"
Can't get how to post,BrendaP 85,2024-01-10T13:54:19+0000,0,Hello I am BrendaP  and diagnosed in April 2023
Vascular dementia,mamma Mel,2023-12-19T08:59:14+0000,0,"Hi everyone, I have been diagnosed with vascular dementia I'm 58 years old. I suffer from migraines as well. Just like to chat to get more information about vascular dementia. Thanks 😊"
Edward,Ereilly62,2024-01-06T15:13:01+0000,0,hello i now have Alzheimer and i dont know what to do i live on my own
Keeping safe at home: any advice?,HarrietD,2023-12-07T15:43:51+0000,0,"Have you got any tips for other people with dementia about staying safe and secure at home?

Things to help prevent problems with gas, power or water, or to avoid falls? Or maybe to make sure you can get help if something goes wrong.

We’d love to share your advice with readers of our magazine, Dementia together – please email magazine@alzheimers.org.uk before 5 January.

Thanks everyone"
I have dementia. I am new to the Forum,David Joseph,2023-10-21T09:38:10+0100,0,Hello. I have dementia and am new to the Forum
Hi I’m janet,janet shenley lane,2024-01-04T22:33:16+0000,0,Hello I’m Janet my hubby takes care of me I’ve Alzheimer’s
Dementia,Acelen,2024-01-04T22:42:36+0000,0,"Hi my name is Adrienne,
When you are diagnosed with mild Dimentia, does it always progress into Alzheimer’s?"
Why does he blame my illness?,Paula1968,2024-01-01T03:46:07+0000,0,"I have dementia and other complex health problems. My friend says that my illness is causing too many problems and that I have no right to expect him to cook for me or care for me. He blames me for a deteriorating friendship. He is angry I don’t get enough social care and blames me for that too. I don’t have family around. 
New Year’s Eve things came to a head and he asked me to leave… I had been invited to stay over the holidays. I was so angry but didn’t say anything to him. I came home. I don’t want to lose the friendship but he seems to be in denial of my health. Any suggestions?"
Becoming more mood swings and aggressive towards my family,Defiance,2023-04-24T22:35:07+0100,0,Is it normal to have more and more mood swings and be more aggressive towards my family just because they want to come for dinner. I feel I can't cope with lots of people in the house anymore. I really hate myself for feeling like this. I have mixed dementia and take 10 mg of memantine. Is this to do with dementia. Thank you.
Accused of lying,Dunroamin,2023-12-21T05:48:32+0000,0,"I was diagnosed with Alzheimer's in 2019 following full assessments and scans.  Yesterday in a room full of people I was told I should not be telling people I have alzheimer's as ""there is obviously nothing wrong with you.""

I have suffered a few negative comments in the past but this blatant and vociferous incident has left me reeling and unsure how to cope as circumstances mean I will bump into this person again.  I realise that ignorance is playing a part here, but ......................."
It's me is the problem,MatthewB,2023-11-28T20:55:46+0000,0,They are scare to try to take my truck away and so nervous of so much fall down bust my noggin and the poor people in the other talk are have so many troubles to try to look after dementia ones like me and that one poor lady hates her husband and I think to die is better than my sweet wife to hate me there is a bluff down the woods maybe couple hundred feet down to the rocks I never thought I could really think about that but that other talk is so scary for to think I'm do that my people
Welcome to my world,Norrms,2022-09-22T15:58:35+0100,0,"WELCOME TO MY WORLD OF DEMENTIA
Please, step this way and i will try and show you what it's really like to have dementia.
Oops! Mind your step please, that's what we call spatial awareness, what that means is sometimes you don't always see what's in front of you and tend to miss the steps going up or coming down so be careful. Pardon? You can't see properly? Does it feel like you have net curtains in front of your eyes? Yes, well that's perfectly normal for those with dementia, looking out on life seems so distorted sometimes, just dementia playing tricks on you. Please take a seat, OH OH ! Be careful you nearly missed the seat then, make sure it's right behind you before you sit as it can sometimes seem nearer than you think.
Would you like a drink ? There you go, a nice glass of cool water, sorry? You can't see it? Oh, I am so sorry, what was I thinking? that's because I have put it in a clear glass, here you go, it's in a nice coloured vessel now, is that easier to see? I am so pleased. What? Who's that at the window?? Oh please don't worry, it's probably dementia playing its tricks on you, come on let's go out for a bit of something to eat. Here you are, here's your coat, please don't worry you will find the arms soon, i will help, there you go! It doesn't matter how long it takes we will get there.
There you go, all inside the car, please put your seat belt on, Sorry? Hang on i will get out and put it on for you, it’s a bit of a ***** this dementia aint it? There you go, that's better, off we go.
WHOA!!! That’s the door handle not the window, please don't open that if you can remember, i know its hard. I am so pleased you feel better getting out and about, and i know how much you like watching the world go by, let’s have a drive over the moors before we go to town. Yes, it’s beautiful isn't it? The moors just go on forever, what? You feel as if you can breathe easier and see better out here, well that's wonderful, let’s go and get some lunch in town.
Here we go, wait!! Please wait until i stop the car before you get out and please stay on the pavement till we cross to the cafe. I know you don't like me holding your hand and i know you are not a child but i need to keep you safe,
WHOA!! Phew that was close, you didn't see that car? That why i need to hold onto you, so sorry didn't mean to shout, just frightened for you, come on let's get something to eat. What would you like? What do i think you want? How would i know? You want egg chips and beans, that's wonderful, would you like to order when the waiteress comes? Here she is.
No, he hasn't had a drink and hasn't got a speech impediment thank you, waitress!! He has dementia and mixes his words up sometimes, please don't worry it's not your fault, you don't know what you don't know I will drop some leaflets off. That was quick, here's your lunch, yes that's your knife on the right and fork on the left, don't worry about it. OOOPS missed your mouth? i do that so many times and please don't worry about the spillage, it will wash. No, i am sure the next table isn't looking at you and if they are then they are only curious and uneducated about those of us with dementia. Be careful that tea is hot, should have really got you a cold drink, .
I can see you yawning, are you tired? I know you feel you shouldn't be but it’s what happens, so much going on is bound to take it out of you. Here we go, back in the car now, sorry? You don't know where you are?? That’s ok, you're in your local town centre and we have just had lunch, Yes we really have and you enjoyed it LOL. Yes, i will take you home now, what do you mean you don't live here? You do my friend, come on in and sit down.
Please don't cry it's been such a good day really, believe me, it could have been a lot worse, I know your frightened and frustrated and don't ever think you are on your own, there are millions of us s around the world just like us. Sundowning is horrible, we must try and explain to all what it’s like, its happens most afternoons so I must ask your loved ones/carer to change all your appointments to “AM “so it's easier for you, you are the most important person in all this, and the best thing is try and have a nap for an hour,
Goodbye my friend,
 Till next time"
I have early stage Alzheimer's and mixed vascular dementia,jwr,2021-09-16T18:37:55+0100,0,"I have early stage Alzheimers and mixed vascular dementia! 
I am ok except for osteoarthritis, heavy sweating night and day! My husband does everything for me and our home! He is my hero and never want to be without him!!
I am so tired and fatigued since recently having a small stroke!
I don’t know how long before I progress to next stage!! ? I don’t want to live any longer but don’t know what to do! I am only suffering short term memory and can do most things personally! Any  hope please help!!! ?"
maurmerry,Maurmerry,2023-12-17T14:43:36+0000,0,Dementia journey
Got myself and some trouble,MatthewB,2023-12-13T18:33:23+0000,0,Hi this is Matt I'm got myself in some pickle and maybe you guys can know what to do I've got them come continent thing from that stroke so I'm got some bad rash and is hurt but I'm didn't want to say that to my Lisa cause she saying not keeping clean up enough so she had to go to Big Town and a mask that doctor can I'm come and see him and he said yeah so I went up there to that doctor and he's look at it and say I need to talk to your wife and I'm saying she's not there and he want to know how I'm get there so I'm said my truck and he got all grumpy act grumpy act say I'm not supposed to be drive that far and he can call that DMV and make me take some tests again so now I'm scared he will tell my Lisa and she will get mad I'm drive up there when she's gone and maybe he will tell her about that bad sores down there from that continents then she will be want to be checking on that too and I don't like that cuz it's some embarrassed bears so now I don't know what to do maybe I should tell her I'm driving up there before he calls I didn't think he was going to get like that just give me some medicine for themsource sores I mean shooting them I'm in a bad pickle
Early onset dementia diagnosed 20 months ago,Sheps,2023-11-02T15:00:06+0000,0,"Hello I’m looking to meet up online with others who have also been diagnosed with the same
forgive me if I have already posted as I couldn’t remember"
Finding joy,Shelleydvr,2023-12-05T07:01:10+0000,0,"Hi All,
I was siagnosed with early onset vascular Dementia around 2 years ago... and it has been a roller-coaster of emotions since.
I also live alone.. with friends far away.  And , socially, I don't really want to make any new friends because I have to explain my difficulties..
My therapist also suggested looing at things that game me joy in the past..  Like gardening, etc.. which we've seen as advice everywhere.
 - A recent thing she said, was to challenge myself daily to find joy, and try challenge myself to try again the things I used to enjoy..
For me, that really didn't work out, but I found a non-threatening craft studio where you pay a small fee, and they show you how to do things, and then leave you to quietly take as long as you need.  They always close by if I have questions.

I am not a crafty person, but having the gentle support is great..

Thought I would share...  since it is the only thing that gives me joy right now..  I also enjoy just casual chats with shopping assistants etc."
Speculative letter advice needed,BlackstoneReg,2023-11-01T15:50:48+0000,0,"I have quite a few health problems and really should be on the sick but the GP reckons I can cope so have to do something, one of the only things I can think of doing from my bed is remote working , which I have never done before, so advice on courses would also be helpful, I do get out but due to fluid retention I cant sit for long , I don't even have home connection at the moment, but the job scheme I attend as promised to supply some stuff if I get work, I applied for PIPs so I could afford home connection and equipment but they gave me not many points. So below is the spec letter I need help in tweaking. 


Any help appreciated, thanks. 



""Hello

I was just after some advice, I have had some form of dementia for a few years now and found that word puzzles/games  such as cryptic crosswords and scrabble have helped greatly, I have spent some time showing others how to do these and wondered if you knew of any organisations I could approach to work remotely from home in doing this? I was thinking of for instance of one to ones with dementia sufferers and online scrabble to help with memory problems."""
